              precision    recall  f1-score   support

           7       0.47      0.30      0.37       692
           8       0.56      0.38      0.45       820
           9       0.49      0.27      0.35       705
          10       0.13      0.34      0.19       167
          11       0.15      0.70      0.24       380
          12       0.58      0.81      0.68      1469
          13       0.48      0.81      0.61       776
          14       0.82      0.32      0.46      1938

   micro avg       0.41      0.47      0.44     12574
   macro avg       0.46      0.50      0.41     12574
weighted avg       0.58      0.47      0.44     12574
 samples avg       0.44      0.50      0.43     12574
              precision    recall  f1-score   support

           0       0.17      0.36      0.23       377
           1       0.46      0.75      0.57       581
           2       0.69      0.40      0.51       769
           3       0.09      0.39      0.15       239
           4       0.81      0.46      0.59       964
           5       0.25      0.84      0.39       558
           6       0.64      0.09      0.16      1912
           7       0.47      0.32      0.38       652
           8       0.57      0.37      0.44       758
           9       0.58      0.30      0.40       820
          10       0.19      0.49      0.27       192
          11       0.17      0.74      0.28       406
          12       0.65      0.77      0.70      1530
          13       0.50      0.80      0.62       781
          14       0.79      0.27      0.40      1939
          15       0.26      0.71      0.38       512

   micro avg       0.40      0.45      0.43     12990
   macro avg       0.46      0.50      0.40     12990
weighted avg       0.57      0.45      0.43     12990
 samples avg       0.43      0.48      0.42     12990
              precision    recall  f1-score   support

           0       0.12      0.28      0.17       317
           1       0.45      0.78      0.57       580
           2       0.59      0.33      0.43       723
           3       0.07      0.33      0.12       233
           4       0.81      0.48      0.61       970
           5       0.29      0.86      0.44       621
           6       0.68      0.10      0.18      1918
           7       0.51      0.34      0.41       696
           8       0.65      0.36      0.47       941
           9       0.39      0.28      0.33       528
          10       0.15      0.37      0.22       191
          11       0.16      0.72      0.26       374
          12       0.60      0.73      0.66      1383
          13       0.46      0.81      0.59       728
          14       0.77      0.27      0.39      1874
          15       0.23      0.70      0.35       507
          16       0.44      0.22      0.29       614

   micro avg       0.39      0.43      0.41     13198
   macro avg       0.43      0.47      0.38     13198
weighted avg       0.55      0.43      0.41     13198
 samples avg       0.41      0.46      0.40     13198
              precision    recall  f1-score   support

           0       0.16      0.35      0.22       367
           1       0.34      0.73      0.47       470
           2       0.66      0.35      0.45       770
           3       0.08      0.35      0.13       217
           4       0.78      0.36      0.50       972
           5       0.29      0.82      0.42       604
           6       0.67      0.11      0.19      1814
           7       0.55      0.36      0.44       740
           8       0.44      0.41      0.42       519
           9       0.31      0.28      0.30       440
          10       0.10      0.48      0.16       138
          11       0.18      0.67      0.29       418
          12       0.71      0.68      0.70      1635
          13       0.43      0.81      0.56       683
          14       0.81      0.28      0.42      1962
          15       0.21      0.52      0.30       449
          16       0.47      0.21      0.29       663
          17       0.25      0.70      0.36       450

   micro avg       0.37      0.43      0.40     13311
   macro avg       0.41      0.47      0.37     13311
weighted avg       0.55      0.43      0.41     13311
 samples avg       0.39      0.45      0.39     13311
              precision    recall  f1-score   support

           0       0.11      0.30      0.16       300
           1       0.41      0.79      0.54       526
           2       0.73      0.42      0.54       765
           3       0.09      0.41      0.14       220
           4       0.79      0.40      0.53       968
           5       0.26      0.85      0.39       534
           6       0.67      0.12      0.20      1752
           7       0.53      0.34      0.41       710
           8       0.64      0.38      0.48       833
           9       0.31      0.25      0.28       497
          10       0.13      0.52      0.21       160
          11       0.17      0.69      0.27       379
          12       0.61      0.72      0.66      1337
          13       0.41      0.81      0.54       683
          14       0.67      0.26      0.37      1574
          15       0.27      0.50      0.35       488
          16       0.50      0.28      0.36       620
          17       0.22      0.69      0.33       432
          18       0.63      0.32      0.43      1107

   micro avg       0.37      0.43      0.40     13885
   macro avg       0.43      0.48      0.38     13885
weighted avg       0.54      0.43      0.41     13885
 samples avg       0.40      0.46      0.39     13885
              precision    recall  f1-score   support

           0       0.13      0.28      0.18       314
           1       0.25      0.29      0.27       377
           2       0.74      0.42      0.53       753
           3       0.08      0.35      0.13       221
           4       0.81      0.42      0.55       944
           5       0.27      0.87      0.41       572
           6       0.66      0.10      0.17      1797
           7       0.53      0.35      0.42       710
           8       0.66      0.36      0.46       951
           9       0.24      0.23      0.24       361
          10       0.11      0.32      0.17       150
          11       0.16      0.68      0.26       370
          12       0.57      0.75      0.64      1220
          13       0.50      0.80      0.61       810
          14       0.64      0.23      0.34      1568
          15       0.24      0.46      0.32       460
          16       0.51      0.26      0.34       655
          17       0.23      0.68      0.34       430
          18       0.62      0.28      0.39      1139
          19       0.32      0.83      0.46       453

   micro avg       0.37      0.42      0.39     14255
   macro avg       0.41      0.45      0.36     14255
weighted avg       0.52      0.42      0.39     14255
 samples avg       0.39      0.44      0.38     14255
              precision    recall  f1-score   support

           0       0.14      0.32      0.20       318
           1       0.36      0.40      0.38       472
           2       0.69      0.40      0.50       690
           3       0.08      0.35      0.12       195
           4       0.83      0.42      0.55       965
           5       0.26      0.87      0.40       542
           6       0.62      0.09      0.15      1793
           7       0.52      0.33      0.41       664
           8       0.72      0.39      0.50       989
           9       0.44      0.26      0.33       624
          10       0.07      0.30      0.11        98
          11       0.17      0.71      0.27       342
          12       0.60      0.64      0.62      1228
          13       0.44      0.80      0.57       710
          14       0.61      0.23      0.34      1484
          15       0.23      0.54      0.32       471
          16       0.46      0.24      0.31       632
          17       0.25      0.70      0.37       458
          18       0.59      0.26      0.36      1088
          19       0.17      0.67      0.28       302
          20       0.28      0.29      0.29       455

   micro avg       0.35      0.40      0.37     14520
   macro avg       0.41      0.44      0.35     14520
weighted avg       0.51      0.40      0.38     14520
 samples avg       0.37      0.42      0.36     14520
              precision    recall  f1-score   support

           0       0.19      0.33      0.24       340
           1       0.25      0.42      0.32       351
           2       0.70      0.40      0.51       728
           3       0.06      0.36      0.10       169
           4       0.42      0.31      0.35       643
           5       0.28      0.85      0.42       557
           6       0.59      0.08      0.15      1687
           7       0.56      0.35      0.43       718
           8       0.65      0.36      0.47       925
           9       0.29      0.28      0.28       416
          10       0.10      0.33      0.16       129
          11       0.17      0.72      0.28       358
          12       0.53      0.75      0.62      1089
          13       0.53      0.82      0.65       817
          14       0.64      0.24      0.35      1543
          15       0.22      0.45      0.30       438
          16       0.51      0.33      0.40       590
          17       0.22      0.68      0.34       425
          18       0.63      0.28      0.39      1086
          19       0.31      0.74      0.43       423
          20       0.27      0.26      0.26       438
          21       0.78      0.34      0.47       896

   micro avg       0.36      0.41      0.38     14766
   macro avg       0.40      0.44      0.36     14766
weighted avg       0.50      0.41      0.38     14766
 samples avg       0.38      0.43      0.37     14766
              precision    recall  f1-score   support

           0       0.17      0.29      0.22       328
           1       0.45      0.45      0.45       553
           2       0.63      0.37      0.46       604
           3       0.07      0.34      0.12       171
           4       0.40      0.31      0.35       636
           5       0.25      0.74      0.37       505
           6       0.60      0.09      0.16      1616
           7       0.51      0.29      0.37       679
           8       0.72      0.39      0.50      1077
           9       0.52      0.35      0.42       673
          10       0.05      0.29      0.09        68
